normal_proportion,n_normal,n_positive,ranking_inversion_rate,mean_reported_dice_a,mean_reported_dice_b,ci_95_a_low,ci_95_a_high,ci_95_b_low,ci_95_b_high,model_a_true_dice,model_b_true_dice,model_a_fp_rate,model_b_fp_rate
0.4,312,468,0.975,0.6489243953740982,0.6736563064864082,0.6263173573361391,0.6673437929276905,0.6555222731344251,0.6903085807934924,0.7482,0.5887,0.5,0.2
0.5,390,390,1.0,0.6254784819064906,0.6934896752245231,0.5985565045340745,0.6499928929449299,0.673369543315819,0.7156041208041864,0.7482,0.5887,0.5,0.2
0.0,0,780,0.0,0.7480951536626561,0.5888055905073604,0.7445395016646956,0.7516551320357603,0.5857811156914733,0.592512969876689,0.7482,0.5887,0.8,0.2
0.05,39,741,0.0,0.7207505097110318,0.5991003673332529,0.7144545406763584,0.7276708567126522,0.5921879284108899,0.6053722387846711,0.7482,0.5887,0.8,0.2
0.1,78,702,0.0,0.6930021685311181,0.6095766100002252,0.6840262346156828,0.7028568065373542,0.5993117890471278,0.619768307524419,0.7482,0.5887,0.8,0.2
0.15,117,663,0.0,0.666114818690707,0.6211162562219402,0.653829094472994,0.6790565574887686,0.6104001637698616,0.6313472536706091,0.7482,0.5887,0.8,0.2
0.17,132,648,0.0,0.6553776173578956,0.6243541905700557,0.6432894315861445,0.6674861999387407,0.6111998958694612,0.6356201169179624,0.7482,0.5887,0.8,0.2
0.2,156,624,0.2,0.6381147897576092,0.6304524533010165,0.6279775953404277,0.6510493882415009,0.6184046915153453,0.6434071439194718,0.7482,0.5887,0.8,0.2
0.25,195,585,1.0,0.611432189220679,0.6414893883228895,0.5978045023624264,0.6243902661552406,0.6279958777366288,0.6553926180221076,0.7482,0.5887,0.8,0.2
0.3,234,546,1.0,0.5836622171820219,0.6520279946794187,0.5697597186810642,0.5994138356238666,0.6363308905759044,0.6659561487922501,0.7482,0.5887,0.8,0.2
0.35,273,507,1.0,0.555685247999006,0.6620497094834685,0.539667235912183,0.569385979930308,0.6435606701492843,0.6752210519845091,0.7482,0.5887,0.8,0.2
0.4,312,468,1.0,0.5291551646048674,0.6736563064864082,0.5123356691112426,0.5477938666515862,0.6555222731344251,0.6903085807934924,0.7482,0.5887,0.8,0.2
0.5,390,390,1.0,0.47333745626546486,0.6934896752245231,0.45658786231472204,0.49386402764779425,0.673369543315819,0.7156041208041864,0.7482,0.5887,0.8,0.2
